bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
128,8,1,128,128,65536,1024,1024,1024,128,128,128,ws,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,238784,65792,204672,65536,8192,65536,65408,0.27445725006700616,4496.707585097829,26214400,33554432,3212705792,3221225472,8665432064,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,ws,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,213759,65792,147328,65536,65536,8192,8064,0.3065882606112491,5023.142061854705,18874368,33554432,3212705792,3221225472,7197425664,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,ws,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,238784,65792,204672,8192,65536,65536,65408,0.27445725006700616,4496.707585097829,26214400,33554432,3212705792,3221225472,8665432064,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,ws,knm,8,8,8,python ./os/knm/start_repeat.py,0,238784,65792,204672,65536,8192,65536,65408,0.27445725006700616,4496.707585097829,26214400,33554432,3212705792,3221225472,8665432064,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,ws,mnk,8,8,8,python ./os/mnk/start_repeat.py,0,213759,65792,147328,65536,65536,8192,8064,0.3065882606112491,5023.142061854705,18874368,33554432,3212705792,3221225472,7197425664,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,ws,mkn,8,8,8,python ./os/mkn/start_repeat.py,0,238784,65792,204672,8192,65536,65536,65408,0.27445725006700616,4496.707585097829,26214400,33554432,3212705792,3221225472,8665432064,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,os,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,238784,65792,204672,65536,8192,65536,65408,0.27445725006700616,4496.707585097829,26214400,33554432,3212705792,3221225472,8665432064,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,os,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,213759,65792,147328,65536,65536,8192,8064,0.3065882606112491,5023.142061854705,18874368,33554432,3212705792,3221225472,7197425664,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,os,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,238784,65792,204672,8192,65536,65536,65408,0.27445725006700616,4496.707585097829,26214400,33554432,3212705792,3221225472,8665432064,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,os,knm,8,8,8,python ./os/knm/start_repeat.py,0,238784,65792,204672,65536,8192,65536,65408,0.27445725006700616,4496.707585097829,26214400,33554432,3212705792,3221225472,8665432064,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,os,mnk,8,8,8,python ./os/mnk/start_repeat.py,0,213759,65792,147328,65536,65536,8192,8064,0.3065882606112491,5023.142061854705,18874368,33554432,3212705792,3221225472,7197425664,1073741824
128,8,1,128,128,65536,1024,1024,1024,128,128,128,os,mkn,8,8,8,python ./os/mkn/start_repeat.py,0,238784,65792,204672,8192,65536,65536,65408,0.27445725006700616,4496.707585097829,26214400,33554432,3212705792,3221225472,8665432064,1073741824
